customer_id,first_name,last_name,email,country,kyc_status,created_at
CUST-0001,First1,Last1,customer1@example.com,US,verified,2021-07-17
CUST-0002,First2,Last2,customer2@example.com,UK,verified,2020-10-12
CUST-0003,First3,Last3,customer3@example.com,US,expired,2023-01-21
CUST-0004,First4,Last4,customer4@example.com,US,expired,2022-05-14
CUST-0005,First5,Last5,customer5@example.com,US,verified,2020-07-10
CUST-0006,First6,Last6,customer6@example.com,UK,verified,2022-10-31
CUST-0007,First7,Last7,customer7@example.com,JP,verified,2023-02-23
CUST-0008,First8,Last8,customer8@example.com,UK,expired,2023-08-23
CUST-0009,First9,Last9,customer9@example.com,JP,pending,2021-03-27
CUST-0010,First10,Last10,customer10@example.com,FR,expired,2021-07-23
CUST-0011,First11,Last11,customer11@example.com,US,verified,2023-11-30
CUST-0012,First12,Last12,customer12@example.com,FR,pending,2021-07-23
CUST-0013,First13,Last13,customer13@example.com,UK,verified,2021-11-20
CUST-0014,First14,Last14,customer14@example.com,US,verified,2022-02-17
CUST-0015,First15,Last15,customer15@example.com,US,pending,2021-12-05
CUST-0016,First16,Last16,customer16@example.com,JP,pending,2020-03-29
CUST-0017,First17,Last17,customer17@example.com,FR,expired,2020-09-12
CUST-0018,First18,Last18,customer18@example.com,FR,verified,2023-02-04
CUST-0019,First19,Last19,customer19@example.com,DE,expired,2023-06-20
CUST-0020,First20,Last20,customer20@example.com,DE,expired,2021-01-28
CUST-0021,First21,Last21,customer21@example.com,US,verified,2023-09-16
CUST-0022,First22,Last22,customer22@example.com,UK,pending,2020-06-12
CUST-0023,First23,Last23,customer23@example.com,UK,verified,2022-02-17
CUST-0024,First24,Last24,customer24@example.com,DE,pending,2023-07-25
CUST-0025,First25,Last25,customer25@example.com,DE,verified,2022-01-28
CUST-0026,First26,Last26,customer26@example.com,DE,verified,2023-10-04
CUST-0027,First27,Last27,customer27@example.com,DE,expired,2023-10-31
CUST-0028,First28,Last28,customer28@example.com,US,expired,2023-07-24
CUST-0029,First29,Last29,customer29@example.com,UK,expired,2021-05-16
CUST-0030,First30,Last30,customer30@example.com,UK,pending,2022-02-16
CUST-0031,First31,Last31,customer31@example.com,DE,expired,2023-11-10
CUST-0032,First32,Last32,customer32@example.com,JP,verified,2023-11-03
CUST-0033,First33,Last33,customer33@example.com,DE,verified,2021-04-14
CUST-0034,First34,Last34,customer34@example.com,US,pending,2022-04-01
CUST-0035,First35,Last35,customer35@example.com,DE,verified,2021-03-08
CUST-0036,First36,Last36,customer36@example.com,JP,expired,2021-10-06
CUST-0037,First37,Last37,customer37@example.com,UK,expired,2022-10-19
CUST-0038,First38,Last38,customer38@example.com,FR,expired,2022-07-28
CUST-0039,First39,Last39,customer39@example.com,UK,pending,2020-10-12
CUST-0040,First40,Last40,customer40@example.com,UK,expired,2023-02-23
CUST-0041,First41,Last41,customer41@example.com,JP,pending,2023-04-12
CUST-0042,First42,Last42,customer42@example.com,FR,expired,2022-03-28
CUST-0043,First43,Last43,customer43@example.com,DE,verified,2020-10-10
CUST-0044,First44,Last44,customer44@example.com,JP,pending,2020-07-05
CUST-0045,First45,Last45,customer45@example.com,US,verified,2020-11-09
CUST-0046,First46,Last46,customer46@example.com,UK,expired,2022-05-14
CUST-0047,First47,Last47,customer47@example.com,JP,verified,2022-02-27
CUST-0048,First48,Last48,customer48@example.com,FR,expired,2022-08-16
CUST-0049,First49,Last49,customer49@example.com,JP,pending,2023-02-07
CUST-0050,First50,Last50,customer50@example.com,US,expired,2020-08-22
CUST-0051,First51,Last51,customer51@example.com,JP,pending,2023-08-05
CUST-0052,First52,Last52,customer52@example.com,DE,verified,2021-08-24
CUST-0053,First53,Last53,customer53@example.com,FR,verified,2022-07-18
CUST-0054,First54,Last54,customer54@example.com,US,expired,2021-06-23
CUST-0055,First55,Last55,customer55@example.com,JP,verified,2022-11-05
CUST-0056,First56,Last56,customer56@example.com,US,expired,2021-09-03
CUST-0057,First57,Last57,customer57@example.com,JP,expired,2021-02-11
CUST-0058,First58,Last58,customer58@example.com,UK,pending,2020-11-26
CUST-0059,First59,Last59,customer59@example.com,JP,expired,2020-01-02
CUST-0060,First60,Last60,customer60@example.com,JP,pending,2022-09-27
CUST-0061,First61,Last61,customer61@example.com,US,verified,2022-01-13
CUST-0062,First62,Last62,customer62@example.com,DE,verified,2020-04-28
CUST-0063,First63,Last63,customer63@example.com,UK,expired,2020-06-10
CUST-0064,First64,Last64,customer64@example.com,US,expired,2022-09-22
CUST-0065,First65,Last65,customer65@example.com,US,expired,2020-09-14
CUST-0066,First66,Last66,customer66@example.com,UK,expired,2022-08-31
CUST-0067,First67,Last67,customer67@example.com,JP,verified,2021-06-26
CUST-0068,First68,Last68,customer68@example.com,JP,expired,2022-05-16
CUST-0069,First69,Last69,customer69@example.com,UK,expired,2023-11-13
CUST-0070,First70,Last70,customer70@example.com,UK,expired,2021-09-30
CUST-0071,First71,Last71,customer71@example.com,FR,expired,2023-08-23
CUST-0072,First72,Last72,customer72@example.com,DE,pending,2022-11-25
CUST-0073,First73,Last73,customer73@example.com,FR,verified,2021-05-22
CUST-0074,First74,Last74,customer74@example.com,UK,verified,2021-11-23
CUST-0075,First75,Last75,customer75@example.com,US,expired,2023-02-08
CUST-0076,First76,Last76,customer76@example.com,UK,expired,2021-03-27
CUST-0077,First77,Last77,customer77@example.com,US,verified,2023-12-20
CUST-0078,First78,Last78,customer78@example.com,US,verified,2020-05-18
CUST-0079,First79,Last79,customer79@example.com,US,pending,2020-05-25
CUST-0080,First80,Last80,customer80@example.com,JP,verified,2021-07-24
CUST-0081,First81,Last81,customer81@example.com,FR,verified,2023-01-09
CUST-0082,First82,Last82,customer82@example.com,UK,expired,2023-03-15
CUST-0083,First83,Last83,customer83@example.com,JP,pending,2021-05-12
CUST-0084,First84,Last84,customer84@example.com,FR,pending,2021-01-24
CUST-0085,First85,Last85,customer85@example.com,US,verified,2023-09-11
CUST-0086,First86,Last86,customer86@example.com,FR,pending,2022-05-17
CUST-0087,First87,Last87,customer87@example.com,FR,pending,2020-04-20
CUST-0088,First88,Last88,customer88@example.com,US,verified,2022-04-04
CUST-0089,First89,Last89,customer89@example.com,DE,verified,2021-05-24
CUST-0090,First90,Last90,customer90@example.com,UK,verified,2023-01-03
CUST-0091,First91,Last91,customer91@example.com,FR,verified,2022-05-14
CUST-0092,First92,Last92,customer92@example.com,UK,pending,2022-08-05
CUST-0093,First93,Last93,customer93@example.com,UK,verified,2022-06-26
CUST-0094,First94,Last94,customer94@example.com,JP,verified,2020-04-13
CUST-0095,First95,Last95,customer95@example.com,JP,verified,2020-07-10
CUST-0096,First96,Last96,customer96@example.com,UK,verified,2022-04-12
CUST-0097,First97,Last97,customer97@example.com,FR,pending,2021-03-13
CUST-0098,First98,Last98,customer98@example.com,FR,verified,2020-12-03
CUST-0099,First99,Last99,customer99@example.com,FR,verified,2022-03-10
CUST-0100,First100,Last100,customer100@example.com,DE,pending,2021-08-07
CUST-0101,First101,Last101,customer101@example.com,FR,expired,2023-02-12
CUST-0102,First102,Last102,customer102@example.com,FR,verified,2021-01-23
CUST-0103,First103,Last103,customer103@example.com,DE,verified,2020-04-29
CUST-0104,First104,Last104,customer104@example.com,JP,expired,2023-01-15
CUST-0105,First105,Last105,customer105@example.com,US,expired,2021-10-04
CUST-0106,First106,Last106,customer106@example.com,US,verified,2023-04-11
CUST-0107,First107,Last107,customer107@example.com,FR,expired,2022-12-23
